Outlet,Receipt Number,Date,Time,Category,Brand,Items,Variant,SKU,Quantity,Modifier Applied,Discount Applied,Gross Sales,Discounts,Refunds,Net Sales,Gratuity,Tax,Sales Type,Collected By,Served By,Customer,Payment Method,Event Type,Reason of Refund
KM02 Coffee And Workingspace,1O5NJH,30-06-2023,22:31:21,Drink_Coffee,Unbranded,Kopi Susu KM-02 Ice,,,1,,,27000,0,0,27000,1350.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJH,30-06-2023,22:31:21,Drink_Others,Unbranded,Mineral,,,1,,,10000,0,0,10000,500.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJH,30-06-2023,22:31:21,Food_Fried Rice,Unbranded,Chicken Fried Rice,,,1,,,35000,0,0,35000,1750.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJH,30-06-2023,22:31:21,Food_Soup,Unbranded,Mushroom Soup,,,1,,,28000,0,0,28000,1400.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJH,30-06-2023,22:31:21,Drink_Coffee,Unbranded,Kopi Susu Ice,,,1,,,25000,0,0,25000,1250.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJG,30-06-2023,21:21:28,Drink_Coffee,Unbranded,Latte Caramel Hot,,,1,,,30000,0,0,30000,1500.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJG,30-06-2023,21:21:28,Drink_Others,Unbranded,Mineral,,,1,,,10000,0,0,10000,500.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJF,30-06-2023,21:20:03,Food_Snack Salty,Unbranded,Tahu Cabe Garam,,,1,,,22500,0,0,22500,1125.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJF,30-06-2023,21:20:03,Drink_Non Coffee,Unbranded,Chocolate Ice,,,1,,,27000,0,0,27000,1350.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJE,30-06-2023,21:18:38,Drink_Coffee,Unbranded,Moccacino Ice,,,1,,,25000,0,0,25000,1250.0,0,RushHours,Kasir 03,,,Gopay,Payment,
KM02 Coffee And Workingspace,1O5NJE,30-06-2023,21:18:38,Drink_Non Coffee,Unbranded,Avochoco,,,1,,,27000,0,0,27000,1350.0,0,RushHours,Kasir 03,,,Gopay,Payment,
KM02 Coffee And Workingspace,1O5NJD,30-06-2023,21:11:17,Drink_Manual Brew,Unbranded,Tubruk,,18000.0,1,,,20000,0,0,20000,1000.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJD,30-06-2023,21:11:17,Drink_Coffee,Unbranded,Salted Caramel Latte Hot,,,1,,,30000,0,0,30000,1500.0,0,RushHours,Kasir 03,,,Cash,Payment,
KM02 Coffee And Workingspace,1O5NJC,30-06-2023,20:45:22,Food_Snack Salty,Unbranded,Fried Meatball Dumpling,,,1,,,25000,0,0,25000,1250.0,0,RushHours,Kasir 03,,,Mandiri,Payment,
KM02 Coffee And Workingspace,1O5NJC,30-06-2023,20:45:22,Drink_Tea Series,Unbranded,Lychee Tea Ice,,,1,,,22000,0,0,22000,1100.0,0,RushHours,Kasir 03,,,Mandiri,Payment,
KM02 Coffee And Workingspace,1O5NJC,30-06-2023,20:45:22,Drink_Non Coffee,Unbranded,Special Chocolate Ice,,,1,,,27000,0,0,27000,1350.0,0,RushHours,Kasir 03,,,Mandiri,Payment,
